favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
105869,Twitter for iPhone,The people of Germany are turning against their leadership as migration is rocking the already tenuous Berlin coali… https://t.co/lX81ySIvts,,False,Mon Jun 18 13:02:43 +0000 2018,29705,1008696508697513985
67380,Twitter for iPhone,"“Ohr told the FBI it (the Fake Dossier) wasn’t true, it was a lie and the FBI was determined to use it anyway to da… https://t.co/Vw0YgDzsVU",,False,Thu Aug 30 01:43:30 +0000 2018,19057,1034979892524457985
36435,Twitter for iPhone,I will be interviewed by @MariaBartiromo at 6:00 A.M. @FoxBusiness. Enjoy!,,False,Wed Apr 12 03:16:00 +0000 2017,5333,851997299454742528
78953,Twitter for iPhone,Stock Market is on track to have the best June in over 50 years! Thank you Mr. President! @WSJ,,False,Sat Jun 22 14:13:16 +0000 2019,13753,1142435387496902656
90407,Twitter for iPhone,"When we rip down and totally replace a badly broken and dilapidated Barrier on the Southern Border, something which… https://t.co/BRquugcPCQ",,False,Mon Jul 22 23:16:53 +0000 2019,19276,1153443827946020864
69310,Twitter for iPhone,"Great new book: “The Case For Trump” by Victor Davis Hanson, Hoover Senior Fellow.",,False,Sat Feb 23 16:12:07 +0000 2019,14124,1099341141152055296
69940,Twitter for iPhone,"Thank you to KenStarr, former Independent Counsel, Whitewater, for your insight and powerful words on FISA abuse, R… https://t.co/XGIgUkn3qK",,False,Sun Feb 18 17:10:32 +0000 2018,15438,965272331978407937
81857,Twitter for iPhone,I am in the process of interviewing some really great people for the position of White House Chief of Staff. Fake N… https://t.co/0TmZj2kYDB,,False,Mon Dec 10 01:27:23 +0000 2018,15603,1071939400517500929
65643,Twitter for iPhone,"Hard to believe that with 24/7 #Fake News on CNN, ABC, NBC, CBS, NYTIMES &amp; WAPO, the Trump base is getting stronger!",realDonaldTrump,False,Mon Aug 07 11:18:05 +0000 2017,14837,894518002795900928
53541,Twitter for iPhone,"Just arrived in Indianapolis, Indiana to make an announcement on #TaxReform! Together, we are going to MAKE AMERICA… https://t.co/JTynVE1err",,False,Wed Sep 27 19:07:02 +0000 2017,9331,913117797231857664
250958,Twitter for iPhone,MAKE AMERICA GREAT AGAIN!,,False,Sun Aug 18 12:34:53 +0000 2019,45694,1163066735588720640
160996,Twitter for iPhone,"I donate 100% of my President’s salary, $400,000, back to our Country, and feel very good about it! https://t.co/cX8Op2qyw7",,False,Fri Aug 16 22:52:54 +0000 2019,36967,1162497489225883655
37716,Twitter for iPhone,"Congratulations to the winners of the Commander-in-Chief's Trophy, the great Air Force Falcons! 
Watch:… https://t.co/HyxxFCfaUh",,False,Tue May 02 21:08:14 +0000 2017,7178,859514893418082310
120963,Twitter for iPhone,China just announced that their economy is growing much slower than anticipated because of our Trade War with them.… https://t.co/hqeUqFrIAz,,False,Fri Dec 14 16:35:43 +0000 2018,24655,1073617541476569088
80834,Twitter for iPhone,"Wow, Nellie Ohr, Bruce Ohr’s wife, is a Russia expert who is fluent in Russian. She worked for Fusion GPS where she… https://t.co/rTaCZtOQaC",,False,Thu Aug 30 12:54:13 +0000 2018,23538,1035148684432953346
147501,Twitter for iPhone,"I greatly appreciate Nancy Pelosi’s statement against impeachment, but everyone must remember the minor fact that I… https://t.co/NeJx1SLegh",,False,Wed Mar 13 10:50:50 +0000 2019,27245,1105783270262927360
59102,Twitter Media Studio,Best wishes to the Republic of Korea on hosting the @Olympics! What a wonderful opportunity to show everyone that y… https://t.co/NL6cIfHZgN,,False,Wed Feb 07 18:01:05 +0000 2018,11022,961298788219420672
42150,Twitter for iPhone,Nebraska - make sure you get out to the polls and VOTE for Deb Fischer today! https://t.co/bDHVaGv2FS,,False,Tue May 15 17:30:16 +0000 2018,10388,996442654568341505
64430,Twitter for iPhone,"Mexico, Canada and the United States are a great partnership and will be a very formidable trading force. We will n… https://t.co/7dnrquzER9",,False,Wed Oct 03 14:13:42 +0000 2018,12817,1047489875614883841
43695,Twitter Ads,Thank you Sean McGarvey &amp; the entire Governing Board of Presidents for honoring me w/an invite to speak. #NABTU2017… https://t.co/dJlZvlq6Tj,,False,Tue Apr 04 19:38:59 +0000 2017,8194,849345573509574665
105306,Twitter for iPhone,Howard Schultz doesn’t have the “guts” to run for President! Watched him on @60Minutes last night and I agree with… https://t.co/aSYufhX25J,,False,Mon Jan 28 13:41:52 +0000 2019,20750,1089881244312178688
157068,Twitter for iPhone,KEEP AMERICA GREAT!,,False,Tue Apr 23 11:47:36 +0000 2019,29567,1120655455594799105
27694,Twitter for iPhone,"....A man named @VanJones68, and many others, were profusely grateful (at that time!). I SIGNED IT INTO LAW, no one… https://t.co/UtKHqrOsZs",realDonaldTrump,False,Mon Sep 09 03:11:53 +0000 2019,6841,1170897585336475648
110383,Twitter for iPhone,"The Economy is one of the best in our history, with unemployment at a 50 year low, and the Stock Market ready to ag… https://t.co/vDgv9LbNSp",,False,Sat Jan 19 12:51:30 +0000 2019,24613,1086607079308251136
53736,Twitter for iPhone,"Great news that an activist investor is now involved with AT&amp;T. As the owner of VERY LOW RATINGS @CNN, perhaps they… https://t.co/Va8V9Tjhsc",,False,Mon Sep 09 13:01:41 +0000 2019,12684,1171046014234648576
84778,Twitter for iPhone,"The Fake News refuses to report the success of the first 6 months: S.C., surging economy &amp; jobs,border &amp; military security,ISIS &amp; MS-13 etc.",,False,Mon Aug 07 01:18:08 +0000 2017,19682,894367017054208001
55928,Twitter for iPhone,"“The witness was asked at least 20 times, and there definitely was no Quid Pro Quo.”  @RepMarkMeadows @FoxNews  The… https://t.co/vcC2EgMUSM",,False,Fri Oct 04 13:47:59 +0000 2019,15451,1180117361380200448
206075,Twitter for iPhone,"So interesting to see “Progressive” Democrat Congresswomen, who originally came from countries whose governments ar… https://t.co/W7GAYLJ5Ki",,False,Sun Jul 14 12:27:52 +0000 2019,46542,1150381394234941448
75889,Twitter for iPhone,China Trade Deal (and more) in advanced stages. Relationship between our two Countries is very strong. I have there… https://t.co/InPk1QI5dW,,False,Mon Feb 25 20:12:25 +0000 2019,14786,1100126391729774592
79212,Twitter for iPhone,"North Korea is behaving very badly. They have been ""playing"" the United States for years. China has done little to help!",,False,Fri Mar 17 13:07:15 +0000 2017,18049,842724011234791424
67971,Twitter for iPhone,Great fun and meeting with Prime Minister @AbeShinzo. Numerous Japanese officials told me that the Democrats would… https://t.co/xeCnqsdNyK,,False,Sun May 26 04:37:52 +0000 2019,16459,1132506111884636160
145461,Twitter for iPhone,"I have asked Steve Daines, our great Republican Senator from Montana, to attend his daughter Annie’s wedding rather… https://t.co/3cvHEGT5QS",,False,Sat Oct 06 20:06:01 +0000 2018,24831,1048665701513187328
73841,Twitter for iPhone,The Trump Administration has achieved more in the first 2 1/2 years of its existence than perhaps any administratio… https://t.co/dB4n9OYKlg,,False,Mon Sep 09 14:55:59 +0000 2019,17982,1171074780566622208
116479,Twitter for iPhone,A third rate conman who interviewed me many years ago for just a short period of time has been playing his biggest… https://t.co/tzNlGALNl1,,False,Fri Jan 25 03:28:25 +0000 2019,24009,1088639701064404992
