DATE,Instr,Open,High,Low,Last,Sett,CHG,Vol,P_set,P_vol,P_OI
2018-07-09,SEP18,14527.0,14528.0,14503.0,14507.0,14504,17.0,144774.0,14521,210525.0,815337.0
2018-07-09,DEC18,,14501.0,14412.0,14413.0,14412,16.0,,14428,13.0,586.0
2018-07-09,MAR19,,,,,14321,16.0,,14405,,
2018-09-20,DEC18,14014.0,14019.0,13924.0,14016.0,14008,11.0,332901.0,13929,433900.0,866040.0
2018-09-20,MAR19,,13924.0,,13924.0,13917,11.0,,13906,,7.0
2018-09-20,JUN19,,,,,13830,8.0,,13906,,
2018-11-06,DEC18,13717.0,13723.0,13704.0,13705.0,13714,4.0,244678.0,13718,290451.0,918431.0
2018-11-06,MAR19,13626.0,13702.0,13616.0,13617.0,13626,4.0,1344.0,13630,523.0,7051.0
2018-11-06,JUN19,,,,,13607,4.0,,13611,,
2018-12-18,DEC18,14400.0,14422.0,14326.0,14420.0,14415,22.0,1133.0,14325,6250.0,2924.0
2018-12-18,MAR19,14309.0,14403.0,14306.0,14400.0,14328,21.0,309596.0,14307,269889.0,977031.0
2018-12-18,JUN19,14229.0,14229.0,14229.0,14229.0,14308,21.0,1.0,14219,,6.0
2018-12-26,MAR19,14524.0,14603.0,14413.0,14416.0,14424,22.0,186552.0,14514,115543.0,937856.0
2018-12-26,JUN19,14424.0,14508.0,14326.0,14326.0,14402,22.0,5.0,14424,,55.0
2018-12-26,SEP19,,,,,14402,22.0,,14424,,
2019-01-02,MAR19,14523.0,14631.0,14519.0,14631.0,14624,24.0,293505.0,14600,224736.0,943611.0
2019-01-02,JUN19,14511.0,14605.0,14501.0,14605.0,14601,25.0,10.0,14508,6.0,56.0
2019-01-02,SEP19,,,,,14601,25.0,,14508,,
2019-01-29,MAR19,14502.0,14522.0,14431.0,14520.0,14521,18.0,202862.0,14503,235470.0,944009.0
2019-01-29,JUN19,14417.0,14502.0,14413.0,14501.0,14501,18.0,49.0,14415,659.0,8522.0
2019-01-29,SEP19,,,,,14501,18.0,,14415,,
2019-03-01,MAR19,14505.0,14507.0,14407.0,14415.0,14415,21.0,14645.0,14504,95564.0,56178.0
2019-03-01,JUN19,14416.0,14418.0,14318.0,14326.0,14326,21.0,301554.0,14415,517129.0,920525.0
2019-03-01,SEP19,,,,,14326,21.0,,14415,,
2019-03-14,MAR19,14611.0,14703.0,14605.0,14628.0,14628,22.0,1499.0,14606,1905.0,13209.0
2019-03-14,JUN19,14517.0,14614.0,14514.0,14606.0,14606,22.0,261036.0,14516,280374.0,948775.0
2019-03-14,SEP19,,,,,14519,22.0,,14429,,1.0
2019-03-19,MAR19,14629.0,14631.0,14602.0,14614.0,14615,10.0,4135.0,14625,5529.0,10021.0
2019-03-19,JUN19,14602.0,14611.0,14512.0,14525.0,14525,11.0,254784.0,14604,189551.0,958097.0
2019-03-19,SEP19,,,,,14506,11.0,,14517,,1.0
2019-03-25,JUN19,14821.0,14923.0,14806.0,14831.0,14900,15.0,379158.0,14817,540197.0,968301.0
2019-03-25,SEP19,14903.0,14903.0,14722.0,14811.0,14812,15.0,1.0,14729,1.0,4.0
2019-03-25,DEC19,,,,,14719,15.0,,14704,,
2019-03-27,JUN19,14830.0,15005.0,14825.0,15004.0,15002,31.0,456771.0,14903,340664.0,978601.0
2019-03-27,SEP19,14821.0,14911.0,14810.0,14910.0,14914,31.0,6.0,14815,1.0,6.0
2019-03-27,DEC19,,,,,14821,31.0,,14722,,
2019-04-03,JUN19,14813.0,14816.0,14714.0,14720.0,14716,26.0,236194.0,14810,230426.0,959762.0
2019-04-03,SEP19,14714.0,14727.0,14625.0,14629.0,14629,25.0,178.0,14722,1.0,11.0
2019-04-03,DEC19,,,,,14604,25.0,,14629,,
2019-04-29,JUN19,14720.0,14721.0,14627.0,14704.0,14631,20.0,190660.0,14719,256821.0,947382.0
2019-04-29,SEP19,14630.0,14700.0,14607.0,14616.0,14610,20.0,2146.0,14630,387.0,1310.0
2019-04-29,DEC19,,,,,14517,20.0,,14605,,2.0
2019-05-15,JUN19,14909.0,15004.0,14906.0,14929.0,14928,22.0,261629.0,14906,224206.0,974799.0
2019-05-15,SEP19,14819.0,14915.0,14818.0,14909.0,14908,22.0,1661.0,14818,3922.0,28703.0
2019-05-15,DEC19,,,,,14815,22.0,,14725,,2.0
2019-05-31,JUN19,15308.0,15420.0,15305.0,15418.0,15412,110.0,51591.0,15302,221297.0,58958.0
2019-05-31,SEP19,15220.0,15400.0,15216.0,15329.0,15323,109.0,550069.0,15214,252910.0,948121.0
2019-05-31,DEC19,,,,,15230,109.0,,15121,,4.0
2019-07-02,SEP19,15507.0,15606.0,15504.0,15603.0,15603,103.0,191014.0,15500,243487.0,926235.0
